#TYPE Microsoft.PowerShell.Commands.HistoryInfo
"Id","CommandLine","ExecutionStatus","StartExecutionTime","EndExecutionTime"
"1","docker build -t library-webapi .","Completed","10.06.2026 11:31:02","10.06.2026 11:31:03"
"2","docker build -t library-webapi .","Completed","10.06.2026 11:31:43","10.06.2026 11:31:43"
"3","docker build -t library-webapi C:\Users\sobal\OtherCodingProjects\KSR_lab\Docker_labs\Docker_1\LibrarySystem\Library.WebApi","Completed","10.06.2026 11:32:59","10.06.2026 11:33:33"
"4","docker run -d --name library-webapi-app -p 91:8080 --network my-network library-webapi","Completed","10.06.2026 11:33:55","10.06.2026 11:33:56"
"5","docker rm 4246","Completed","10.06.2026 11:34:21","10.06.2026 11:34:21"
"6","docker stop 4246","Completed","10.06.2026 11:36:26","10.06.2026 11:36:27"
"7","docker run --name library-webapi-app -p 91:8080 --network my-network library-webapi","Completed","10.06.2026 11:36:38","10.06.2026 11:36:38"
"8","docker rm 4246","Completed","10.06.2026 11:36:45","10.06.2026 11:36:45"
"9","docker run --name library-webapi-app -p 91:8080 --network my-network library-webapi","Stopped","10.06.2026 11:36:48","10.06.2026 11:39:11"
"10","docker stop library-webapi-app","Completed","10.06.2026 11:39:22","10.06.2026 11:39:22"
"11","docker rm -f library-webapi-app","Completed","10.06.2026 11:39:25","10.06.2026 11:39:25"
"12","docker run -d --name library-webapi-app -p 91:80 --network my-network library-webapi","Completed","10.06.2026 11:39:34","10.06.2026 11:39:35"
"13","docker ps -a","Completed","10.06.2026 11:39:39","10.06.2026 11:39:39"
"14","docker ps","Completed","10.06.2026 11:39:41","10.06.2026 11:39:41"
"15","docker stop b76b","Completed","10.06.2026 11:40:24","10.06.2026 11:40:25"
"16","docker rm b76b","Completed","10.06.2026 11:40:31","10.06.2026 11:40:31"
"17","docker run --name library-webapi-app -e ASPNERCORE_HTTP_PORTS=80 -p 91:8080 --network my-network library-webapi","Stopped","10.06.2026 11:41:26","10.06.2026 11:41:42"
"18","docker stop library-webapi-app","Completed","10.06.2026 11:41:52","10.06.2026 11:41:52"
"19","docker rm library-websapi-app","Completed","10.06.2026 11:42:02","10.06.2026 11:42:03"
"20","docker rm library-webapi-app","Completed","10.06.2026 11:42:07","10.06.2026 11:42:07"
"21","docker run -d --name library-webapi-app -p 91:8080 --network my-network -e ASPNETCORE_URLS=""http://+:8080"" library-webapi","Completed","10.06.2026 11:42:25","10.06.2026 11:42:26"
"22","docker ps","Completed","10.06.2026 11:42:29","10.06.2026 11:42:29"
"23","docker rm -f library-webapi-app","Completed","10.06.2026 11:43:55","10.06.2026 11:43:56"
"24","docker run -d --name library-webapi-app -p 91:8080 --network my-network -e ASPNETCORE_URLS=""http://0.0.0.0:8080"" library-webapi","Completed","10.06.2026 11:44:06","10.06.2026 11:44:07"
"25","docker logs library-webapi-app","Completed","10.06.2026 11:45:49","10.06.2026 11:45:49"
"26","docker rm -f library-webapi-app","Completed","10.06.2026 11:46:24","10.06.2026 11:46:25"
"27","docker run -d --name library-webapi-app -p 91:8080 --network my-network -e DOTNET_URLS=""http://+:8080"" library-webapi","Completed","10.06.2026 11:46:38","10.06.2026 11:46:38"
"28","docker rm -f library-webapi-app","Completed","10.06.2026 11:47:35","10.06.2026 11:47:36"
"29","docker run -d --name library-webapi-app -p 91:8080 -p 91:5000 -p 91:5100 -p 91:80 --network my-network library-webapi","Completed","10.06.2026 11:47:43","10.06.2026 11:47:44"
"30","docker rm -f library-webapi-app","Completed","10.06.2026 11:48:15","10.06.2026 11:48:15"
"31","docker run -d --name library-webapi-app -p 91:8080 -p 93:5000 -p 94:5100 -p 95:80 --network my-network library-webapi","Completed","10.06.2026 11:48:23","10.06.2026 11:48:24"
"32","docker rm -f library-webapi-app","Completed","10.06.2026 11:49:01","10.06.2026 11:49:02"
"33","docker build -t library-webapi C:\Users\sobal\OtherCodingProjects\KSR_lab\Docker_labs\Docker_1\LibrarySystem\Library.WebApi","Completed","10.06.2026 11:49:41","10.06.2026 11:50:04"
"34","docker run -d --name webapi -p 91:8080 library-webapi","Completed","10.06.2026 11:50:27","10.06.2026 11:50:27"
"35","docker network connect my-network webapi --alias rabbitmq","Completed","10.06.2026 11:50:52","10.06.2026 11:50:53"
"36","docker ps","Completed","10.06.2026 11:51:01","10.06.2026 11:51:01"
"37","docker network disconnect my-network webapi","Completed","10.06.2026 11:53:15","10.06.2026 11:53:15"
"38","docker network connect my-network webapi","Completed","10.06.2026 11:53:22","10.06.2026 11:53:22"
"39","docker network connect my-network rabbitmq_labDocker --alias rabbit","Completed","10.06.2026 11:53:28","10.06.2026 11:53:28"
"40","docker run -d --name webapi -p 91:8080 library-webapi","Completed","10.06.2026 11:53:40","10.06.2026 11:53:40"
"41","docker rm webapi","Completed","10.06.2026 11:53:49","10.06.2026 11:53:49"
"42","docker stop webapi","Completed","10.06.2026 11:53:54","10.06.2026 11:53:55"
"43","docker rm webapi","Completed","10.06.2026 11:53:56","10.06.2026 11:53:56"
"44","docker run -d --name webapi -p 91:8080 library-webapi","Completed","10.06.2026 11:53:58","10.06.2026 11:53:58"
"45","docker rm webapi","Completed","10.06.2026 11:54:09","10.06.2026 11:54:09"
"46","docker stop webapi","Completed","10.06.2026 11:54:10","10.06.2026 11:54:11"
"47","docker rm webapi","Completed","10.06.2026 11:54:12","10.06.2026 11:54:13"
"48","docker run -d --name webapi -p 91:8080 --network my-network -e RabbitMq__ServerAddress=""rabbitmq://rabbit"" library-webapi","Completed","10.06.2026 11:54:17","10.06.2026 11:54:18"
"49","docker logs webapi","Completed","10.06.2026 11:54:48","10.06.2026 11:54:48"
"50","docker ps","Completed","10.06.2026 11:55:59","10.06.2026 11:55:59"
"51","docker exec -it webapi printenv","Completed","10.06.2026 11:56:09","10.06.2026 11:56:09"
"52","docker exec -it webapi sh","Completed","10.06.2026 11:56:57","10.06.2026 11:57:23"
"53","curl http://localhost:8080","Completed","10.06.2026 11:57:29","10.06.2026 11:57:33"
"54","docker exec -it webapi sh","Completed","10.06.2026 11:57:37","10.06.2026 11:57:44"
"55","docker exec -it webapi sh -c ""wget -qO- http://localhost:8080""","Completed","10.06.2026 11:57:56","10.06.2026 11:57:56"
"56","docker exec -it webapi sh -c ""curl http://localhost:8080/api/library/rented""","Completed","10.06.2026 11:58:02","10.06.2026 11:58:02"
"57","docker logs -f webapi","Stopped","10.06.2026 11:58:08","10.06.2026 12:01:21"
"58","docker stop webapi","Completed","10.06.2026 12:01:27","10.06.2026 12:01:28"
"59","docker rm -f webapi","Completed","10.06.2026 12:01:29","10.06.2026 12:01:29"
"60","docker run -d --name webapi -p 91:8080 --network my-network -e Kestrel__EndPoints__Http__Url=""http://0.0.0.0:8080"" library-webapi","Completed","10.06.2026 12:01:49","10.06.2026 12:01:50"
"61","docker stop webapi","Completed","10.06.2026 12:02:02","10.06.2026 12:02:03"
"62","docker rm -f webapi","Completed","10.06.2026 12:02:05","10.06.2026 12:02:05"
"63","docker build -t library-webapi .","Completed","10.06.2026 12:02:28","10.06.2026 12:02:29"
"64","docker build -t library-webapi C:\Users\sobal\OtherCodingProjects\KSR_lab\Docker_labs\Docker_1\LibrarySystem\Library.WebApi","Completed","10.06.2026 12:02:57","10.06.2026 12:03:18"
"65","docker rm -f webapi","Completed","10.06.2026 12:03:41","10.06.2026 12:03:41"
"66","docker run -d --name webapi --network my-network -p 91:8080 -e RabbitMq__ServerAddress=rabbitmq://rabbit library-webapi","Completed","10.06.2026 12:04:11","10.06.2026 12:04:11"
