#TYPE Microsoft.PowerShell.Commands.HistoryInfo
"Id","CommandLine","ExecutionStatus","StartExecutionTime","EndExecutionTime"
"1","docker build -t libweb_img_d2 C:\Users\sobal\OtherCodingProjects\KSR_lab\Docker_labs\Docker_2\LibrarySystem\Library.Web","Completed","14.06.2026 19:07:43","14.06.2026 19:07:58"
"2","docker run -d --name libweb_d2 -p 90:8080 -e LibraryWebApiServiceHost=http://host.docker.internal:91 libweb_img_d2","Completed","14.06.2026 19:08:06","14.06.2026 19:08:06"
"3","docker build -t libwapi_img_d2 C:\Users\sobal\OtherCodingProjects\KSR_lab\Docker_labs\Docker_2\LibrarySystem\Library.WebApi","Completed","14.06.2026 19:26:11","14.06.2026 19:26:31"
"4","docker run -d --name libwapi_d2 -p 91:8080 libwapi_img_d2","Completed","14.06.2026 19:27:07","14.06.2026 19:27:07"
"5","docker logs -f 76c6","Stopped","14.06.2026 19:28:00","14.06.2026 19:28:20"
"6","docker logs -f 76c6","Stopped","14.06.2026 19:28:21","14.06.2026 19:31:10"
"7","docker stoop 76c6","Completed","14.06.2026 19:31:18","14.06.2026 19:31:18"
"8","docker stop 76c6","Completed","14.06.2026 19:31:20","14.06.2026 19:31:21"
"9","docker rm -f 76c6","Completed","14.06.2026 19:31:28","14.06.2026 19:31:28"
"10","docker run --name libwapi_d2 -p 91:8080 libwapi_img_d2","Stopped","14.06.2026 19:31:44","14.06.2026 19:32:16"
"11","docker stop 8e1d","Completed","14.06.2026 19:38:42","14.06.2026 19:38:43"
"12","docker build -t libns2_img_d2 C:\Users\sobal\OtherCodingProjects\KSR_lab\Docker_labs\Docker_2\LibrarySystem\Library.NetworkServices2","Completed","14.06.2026 19:49:15","14.06.2026 19:49:15"
"13","docker build -t libns2_img_d2 C:\Users\sobal\OtherCodingProjects\KSR_lab\Docker_labs\Docker_2\LibrarySystem\Library.NetworkService2","Completed","14.06.2026 19:49:22","14.06.2026 19:49:22"
"14","docker build -t libns2_img_d2 C:\Users\sobal\OtherCodingProjects\KSR_lab\Docker_labs\Docker_2\LibrarySystem\Library.NotificationService2","Completed","14.06.2026 19:49:42","14.06.2026 19:50:03"
"15","docker stop rabbitmq","Completed","14.06.2026 20:06:35","14.06.2026 20:06:36"
"16","docker stop rabbitmq_v2","Completed","14.06.2026 20:06:42","14.06.2026 20:06:45"
"17","cd  C:\Users\sobal\OtherCodingProjects\KSR_lab\Docker_labs\Docker_2\LibrarySystem","Completed","14.06.2026 20:13:26","14.06.2026 20:13:26"
"18","docker-compose up --build -d","Completed","14.06.2026 20:13:37","14.06.2026 20:13:38"
"19","New-Item -Path . -Name ""docker-compose.yml"" -ItemType ""File""","Completed","14.06.2026 20:15:46","14.06.2026 20:15:46"
"20","docker-compose up --build -d","Completed","14.06.2026 20:18:28","14.06.2026 20:18:46"
"21","docker-compose down","Completed","14.06.2026 20:21:12","14.06.2026 20:21:17"
"22","docker-compose up --build -d","Completed","14.06.2026 20:21:19","14.06.2026 20:21:24"
"23","docker logs -f lib_nt2_d2c","Stopped","14.06.2026 20:23:29","14.06.2026 20:25:41"
"24","docker logs -f lib_nt2_d2c","Stopped","14.06.2026 20:25:43","14.06.2026 20:27:26"
"25","docker logs -f lib_nt2_d2c","Stopped","14.06.2026 20:27:27","14.06.2026 20:28:43"
"26","Get-History | Export-CSV C:\Users\sobal\OtherCodingProjects\KSR_lab\Docker_labs\Docker_2\Terminal_histories\terminal_hist.txt","Completed","14.06.2026 20:29:01","14.06.2026 20:29:01"
"27","cd ..","Completed","14.06.2026 20:29:22","14.06.2026 20:29:22"
